,Accuracy,ROC-AUC,CV Accuracy
Random Forest,0.8115183246073299,0.9088815789473684,0.7916494668042656
Gradient Boosting,0.8115183246073299,0.9005482456140351,0.7732714138286894
XGBoost,0.774869109947644,0.8816885964912281,0.770657034743722
SVM,0.743455497382199,0.8440789473684212,0.7404970760233918
Logistic Regression,0.7172774869109948,0.8123903508771929,0.7103973168214655
